symbol,take_profit_percentage_foreach_trade,diversification_percentage,fast_length,slow_length,signal_smoothing,rsi_length,rsi_entry_min,rsi_entry_max,start_date,end_date,initial_balance,total_profit,profit_percentage,num_trades,final_balance,open_positions_value
TRXUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3544.5000000000005,118.15,98,6544.5,0.0
BTCUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,2057.7000000000003,78.33105746305591,72,5349.931723891677,4405.231723891678
ETHUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1159.2,50.50206173826933,34,4515.06185214808,4423.86185214808
SOLUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3313.2000000000007,100.1874219994272,109,6005.622659982816,3212.422659982816
XRPUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3109.5000000000005,101.64755383356352,86,6049.426615006906,550.9266150069051
ADAUSDT,0.3,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,2347.8000000000006,81.3393920514602,80,5440.181761543806,2126.3817615438065
TRXUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3706.5,123.55,75,6706.5,0.0
BTCUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1925.0,113.39325291583762,50,6401.797587475128,5809.797587475128
ETHUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1415.0,59.12113822331669,27,4773.634146699501,4680.634146699501
SOLUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,2744.5,105.21982642960734,60,6156.594792888221,4826.094792888221
XRPUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3053.0,103.17748356434744,43,6095.324506930423,1100.324506930423
ADAUSDT,0.5,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,3286.0,115.438217108271,73,6463.14651324813,2967.1465132481303
TRXUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,908.4300000000007,30.280999999999963,139,3908.429999999999,0.0
BTCUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,911.0400000000008,30.80741060706067,166,3924.22231821182,1736.1823182118192
ETHUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,669.8700000000006,21.188863792696623,161,3635.665913780899,1775.7959137808984
SOLUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1303.1700000000008,36.7966465038741,182,4103.899395116223,1562.7293951162237
XRPUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1050.120000000001,33.673405656999755,198,4010.2021697099926,366.0821697099893
ADAUSDT,0.03,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,902.7000000000008,29.283901224599624,187,3878.5170367379887,366.8170367379895
TRXUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1255.9500000000012,41.86500000000005,139,4255.950000000002,0.0
BTCUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1165.100000000001,39.58468849106026,165,4187.540654731808,2198.4406547318076
ETHUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,870.4000000000007,27.93823162219169,136,3838.1469486657506,2491.74694866575
SOLUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1596.5500000000013,45.71751874149898,181,4371.5255622449695,1930.975562244969
XRPUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1337.4000000000015,43.15764052989623,194,4294.729215896887,391.32921589688505
ADAUSDT,0.05,0.1,12,26,9,14,50,70,"1 Jan, 2024","5 Dec, 2024",3000,1194.850000000001,38.96244718072936,187,4168.873415421881,394.02341542188134
